taf_02345_00348037167	ஆஸ்த்ரேலியப் பெண்ணுக்கு முப்பத்தி மூன்று ஆண்டுகளுக்குப் பின்னர் இந்தியா இழப்பீடு வழங்கியது
taf_07049_00155837462	ஸ்ரீரங்கம் கோவிலில் வெடிகுண்டு மிரட்டல்
taf_09705_01218130267	உங்களுடைய உணவுக் கட்டுப்பாட்டைச் சொன்னால் மற்றவர்களுக்கும் உதவியாக இருக்கும்
taf_03219_00712757493	ரஹானே மட்டும் ஆறுதலாக முப்பத்தி ஆறு ரன்கள் குவித்தார்
taf_00008_01305524612	மனோரமாவிற்கு பூபதி என்ற மகன் உள்ளார்
taf_04125_01507228128	பணம் திசை திருப்பப்பட்டதை வங்காளதேசத்தின் கிராமின் வங்கி மறுக்கிறது
taf_07910_01584356993	ஏர் இந்தியா குண்டுவெடிப்பு சூத்திரதாரி பொய்சாட்சிய வழக்கில் குற்றவாளியாகத் தீர்ப்பு
taf_07894_00517992937	ஆசியான் நாடுகளின் புதிய மனித உரிமை அமைப்பு
taf_04696_00523634279	நூற்றி ஐம்பது மீட்டரில்
taf_05001_00531982185	கா‌ரி‌ல் அம‌ர்‌ந்தபடியே மெ‌ரினா கட‌ற்கரை‌யி‌ல் அமை‌க்‌க‌ப்ப‌ட்டு‌ள்ள ‌சிற‌ப்பு‌ப் ப‌ணிகளை ஆ‌ர்வ‌த்துட‌ன் சு‌ற்‌றி‌ப்பா‌ர்‌த்தா‌ர்
taf_01484_01055566125	இந்திய அணி நூற்று இருபத்தாறு ரன்கள் எடுத்து அபார வெற்றி பெற்றுள்ளது
taf_02027_01350099461	குறிப்பாக ஆண் மூலம் அரசாளும் பெண் மூலம் நிர்மூலம் போன்ற உவமைகள் ஜோதிடத்தில் எங்கும் கூறப்படவே இல்லை
taf_02042_01490052249	ஆஸ்த்திரேலியத் துடுப்பாட்ட அணியின் தலைமைப் பதவியில் இருந்து ரிக்கி பாண்டிங் விலகினார்
taf_02345_01664073518	இமாச்சலப் பிரதேசப் பழங்குடியினர் கிரேக்க மன்னன் அலெக்சாண்டரின் வாரிசுகளா?
taf_02330_00096194830	சிங்கப்பூரில் உலகின் முதலாவது அறிவுக்கலை அருங்காட்சியகம்
taf_09689_00036562162	எகிப்தில் மக்கள் போராட்டத்தை அடுத்து அரசைக் கலைத்தார் முபாரக்
taf_06478_01490963620	முதலில் தயங்கியவர் பின்னர் அதனை செய்வதாக ஒப்புக்கொண்டார்
taf_02027_00150647812	போலியோ அற்ற நாடாக இந்தியா அறிவிப்பு
taf_02027_00554998467	ஸ்ரீ கிருஷ்ணா டாக்கீஸ் என்ற பட நிறுவனம் சார்பில் விஎம்
taf_02345_01052998033	ஜனவரி முப்பது தியாகிகள் தினம்
taf_02042_02042842418	தமிழகத்தில் வாக்காளர் எண்ணிக்கை ஐந்து புள்ளி முப்பத்தியேழு கோடியை எட்டியுள்ளது
taf_06958_00360322187	எத்தியோப்பியாவில் மிகப் பழமையான மனித எலும்புக்கூடு கண்டுபிடிக்கப்பட்டது
